PROGRAM_TITLE,Top 5 Most Similar Programs (cosine)
Accounting & Data Analysis Major (B.S.),Accounting Major (A.A.) (0.93); Business Administration & Data Analysis Major (B.S.) (0.79); Accounting Certificate - Online (0.77); Business Major (A.A.) (0.77); Christian Leadership & Management Major (B.S.) (0.76)
STEM Mathematics Major (A.S.),Algebra I Education Certificate - Resident & Online (0.81); Mathematics Major (B.S.) (0.77); Applied Mathematics & Statistics Major (B.S.) (0.74); Computational Mathematics Major (B.S.) (0.74); Physics Major (A.S.) (0.70)
School Administration & Supervision - Executive Certificate,Education Specialist in Administration & Supervision (Ed.S.) (0.99); Doctor of Education in Administration & Supervision (Ed.D.) (0.96); School Administration & Supervision - Graduate Certificate (0.94); Master of Education (M.Ed.) (0.81); School Leadership - Graduate Certificate (0.62)
School Administration & Supervision - Graduate Certificate,School Administration & Supervision - Executive Certificate (0.94); Education Specialist in Administration & Supervision (Ed.S.) (0.94); Doctor of Education in Administration & Supervision (Ed.D.) (0.91); Master of Education (M.Ed.) (0.87); School Leadership - Graduate Certificate (0.65)
School Leadership - Graduate Certificate,Master of Education (M.Ed.) (0.73); Master of Arts in Educational Studies (M.A.) (0.69); Education Specialist in Curriculum & Instruction (Ed.S.) (0.67); Education Specialist in Administration & Supervision (Ed.S.) (0.65); Doctor of Education in Administration & Supervision (Ed.D.) (0.65)
Social Sciences Major (B.S.),Geography Major (B.S.) (0.87); Military History Major (A.A.) (0.76); Interdisciplinary Research Major (B.S.) (0.75); Master of Arts in Geography (M.A.) (0.75); Master of Arts in Interdisciplinary Studies (M.A.) (0.75)
Social Studies Education 6-12 Major (B.Ed.),History Major (B.A. & B.S.)  (0.88); Elementary Education Major (B.Ed.) (0.83); Middle Education Major (B.Ed.) (0.82); Bachelor of Education in Special Education - General Curriculum K-12 (0.81); Business Education 6-12 Major (B.Ed.) (0.80)
Social Work Major (B.S.S.W.),Master of Social Work (M.S.W.) (0.78); Human Services Major (B.S.) (0.76); Advanced Standing Master of Social Work (M.S.W.) (0.68); Interdisciplinary Research Major (B.S.) (0.54); Interdisciplinary Studies Major (B.A. or B.S.) (0.53)
Spanish Education P-12 Major (B.Ed.),English as a Second Language Education P-12 Major (B.Ed.) (0.84); Theatre Arts Education P-12 Major (B.Ed.) (0.83); Spanish Major (B.A.) (0.83); Family & Consumer Sciences Education 6-12 Major (B.Ed.) (0.82); Elementary Education Major (B.Ed.) (0.81)
Spanish Major (B.A.),Spanish Education P-12 Major (B.Ed.) (0.83); Teaching English as a Second Language Major (B.S.)  (0.68); English as a Second Language Education P-12 Major (B.Ed.) (0.68); Global and Intercultural Engagement Major (B.S.) (0.68); Interdisciplinary Studies Major (B.A. or B.S.) (0.56)
"Special & Gifted Education (M.Ed.) - Twice Exceptionalities: With Transition & Special Needs, Gifted Education, & Special Education General Curriculum (add-on endorsement)",Master of Education in Special & Gifted Education (M.Ed.) (0.87); Career & Technical Education (CTE) ��� Transition & Special Needs - Add-On Endorsement - Graduate Certificate (0.86); Teaching in Special Education (M.A.T.) - General Curriculum & Adapted Curriculum with CTE-Transition & Special Needs (Add-On Endorsement)  (0.75); Master of Arts in Educational Studies (M.A.) (0.74); Teaching in Special Education (M.A.T.) - Adapted Curriculum & Early Childhood Special Education with CTE-Transition & Special Needs (Add-On Endorsement) (0.73)
Special Education - Executive Certificate,Education (Ph.D.) - Special Education (0.97); Educational Specialist in Special Education (Ed.S.) (0.92); Doctor of Education in Special Education (Ed.D.) (0.88); Doctor of Philosophy in Education (Ph.D.) (0.77); Education Specialist in Educational Leadership (Ed.S.) (0.76)
Special Education - General Curriculum - Add-On Endorsement - Graduate Certificate,Master of Education in Special & Gifted Education (M.Ed.) (0.80); Master of Arts in Teaching in Special Education (M.A.T.) (0.78); Master of Arts in Teaching in Special Education (M.A.T.) - 45 hours (0.78); Teaching in Special Education (M.A.T.) - Early Childhood Special Education & General Curriculum (0.76); Teaching in Special Education (M.A.T.) - General Curriculum & Adapted Curriculum with CTE-Transition & Special Needs (Add-On Endorsement)  (0.76)
Special Education Interdisciplinary Studies Major (B.S.),Early Childhood Education Interdisciplinary Studies Major (B.S.) (Non-Licensure Program) (0.95); Elementary Education Interdisciplinary Studies Major (B.S.) (0.95); Interdisciplinary Studies Major (B.A. or B.S.) (0.84); Biblical & Educational Studies Major (B.S.) (0.83); Master of Arts in Interdisciplinary Studies (M.A.) (0.83)
Speech Education Certificate - Resident,Communication (B.S.) - Communication - Resident (0.79); Communication Major (B.S.) (0.75); Interdisciplinary Research Major (B.S.) (0.69); Master of Arts in Interdisciplinary Studies (M.A.) (0.65); Interdisciplinary Studies Major (B.A. or B.S.) (0.65)
Sport Management - Graduate Certificate,Master of Science in Sport Management (M.S.) (0.73); Sport Management Major (B.S.) (0.69); Hospitality Management Major (B.S.) (0.69); Master of Science in Marketing (M.S.) (0.68); Coaching Major (B.S.) (0.62)
Sport Management Major (B.S.),Hospitality Management Major (B.S.) (0.96); Coaching Major (B.S.) (0.88); Master of Science in Sport Management (M.S.) (0.84); Master of Arts in Applied Ministry (M.A.) (0.80); Master of Arts in Interdisciplinary Studies (M.A.) (0.78)
Strategic Communication - Graduate Certificate,Master of Arts in Digital Content (M.A.) (0.71); Master of Science in Social Media Management (M.S.) (0.68); Master of Arts in Strategic Communication (M.A.) (0.67); Master of Arts in Professional Communication (M.A.) (0.66); Master of Arts in Communication (M.A.) (0.63)
Strategic Communication Major (B.S.),Communication Major (B.S.) (0.82); Digital Design Major (B.S.) (0.79); Interdisciplinary Research Major (B.S.) (0.78); Master of Arts in Professional Communication (M.A.) (0.77); Communication (B.S.) - Integrated Communication - Resident (0.76)
Strategic Leadership - Executive Certificate,Doctor of Strategic Leadership (D.S.L.) (0.80); Education (Ph.D.) - Organizational Leadership (0.78); Doctor of Philosophy in Organization & Management (Ph.D.) (0.68); Doctor of Business Administration (D.B.A.) (0.64); Master of Business Administration (M.B.A.) (0.62)
Strength and Conditioning Major (B.S.),Physical Education & Health Major (B.S.) (0.96); Exercise Science Major (B.S.) (0.92); Health & Physical Education P-12 Major (B.Ed.) (0.91); Interdisciplinary Studies Major (B.A. or B.S.) (0.85); Physical Education & Health (B.S.) Non-Licensure Concentration (0.84)
String Performance Major (B.M.),"Guitar Performance Major (B.M.) (0.98); Woodwind, Brass, or Percussion Performance Major (B.M.) (0.97); Music Major (B.A./B.S.) Instrumental (0.92); Music Education Major (B.M.) (0.91); Music in World Cultures Major (B.M.) (0.91)"
Studio & Digital Arts (B.S.) - Graphic Design - Resident,Studio & Digital Arts (B.S.) - Studio Art - Resident (1.00); Studio & Digital Arts Major (B.S.) (0.99); Studio Art Major (B.F.A.) (0.98); Graphic Design Major (B.F.A.) (0.87); Digital Design Major (B.S.) (0.86)
Studio & Digital Arts (B.S.) - Studio Art - Resident,Studio & Digital Arts (B.S.) - Graphic Design - Resident (1.00); Studio & Digital Arts Major (B.S.) (0.98); Studio Art Major (B.F.A.) (0.98); Digital Design Major (B.S.) (0.86); Graphic Design Major (B.F.A.) (0.86)
Studio & Digital Arts Major (B.S.),Studio Art Major (B.F.A.) (1.00); Studio & Digital Arts (B.S.) - Graphic Design - Resident (0.99); Studio & Digital Arts (B.S.) - Studio Art - Resident (0.98); Graphic Design Major (B.F.A.) (0.91); Digital Design Major (B.S.) (0.90)
Studio Art Major (B.F.A.),Studio & Digital Arts Major (B.S.) (1.00); Studio & Digital Arts (B.S.) - Graphic Design - Resident (0.98); Studio & Digital Arts (B.S.) - Studio Art - Resident (0.98); Graphic Design Major (B.F.A.) (0.92); Digital Design Major (B.S.) (0.91)
Teaching English as a Second Language Certificate - Resident & Online,Teaching English as a Second/Foreign Language Major (B.A.) (0.87); Master of Arts in Teaching English as a Second Language (M.A.) (0.76); Master of Arts in Linguistics (M.A.) (0.72); Master of Arts in Global and Intercultural Leadership (M.A.) (0.62); English as a Second Language Education P-12 Major (B.Ed.) (0.61)
Teaching English as a Second Language Major (B.S.) ,Global and Intercultural Engagement Major (B.S.) (0.99); English as a Second Language Education P-12 Major (B.Ed.) (0.97); Spanish Education P-12 Major (B.Ed.) (0.77); Interdisciplinary Studies Major (B.A. or B.S.) (0.75); Master of Arts in Interdisciplinary Studies (M.A.) (0.72)
Teaching English as a Second/Foreign Language Major (B.A.),Teaching English as a Second Language Certificate - Resident & Online (0.87); Master of Arts in Linguistics (M.A.) (0.81); Master of Arts in Teaching English as a Second Language (M.A.) (0.80); English as a Second Language Education P-12 Major (B.Ed.) (0.72); Master of Arts in Global and Intercultural Leadership (M.A.) (0.72)
Teaching in Special Education (M.A.T.) - Adapted Curriculum & Early Childhood Special Education with CTE-Transition & Special Needs (Add-On Endorsement),Teaching in Special Education (M.A.T.) - General Curriculum & Adapted Curriculum with CTE-Transition & Special Needs (Add-On Endorsement)  (0.96); Teaching in Special Education (M.A.T.) - Early Childhood Special Education & General Curriculum (0.96); Master of Arts in Teaching in Special Education (M.A.T.) - 45 hours (0.92); Master of Arts in Teaching in Special Education (M.A.T.) (0.92); Master of Arts in Teaching (M.A.T.) - 45 hours (0.82)
Teaching in Special Education (M.A.T.) - Early Childhood Special Education & General Curriculum,Teaching in Special Education (M.A.T.) - General Curriculum & Adapted Curriculum with CTE-Transition & Special Needs (Add-On Endorsement)  (0.98); Teaching in Special Education (M.A.T.) - Adapted Curriculum & Early Childhood Special Education with CTE-Transition & Special Needs (Add-On Endorsement) (0.96); Master of Arts in Teaching in Special Education (M.A.T.) - 45 hours (0.94); Master of Arts in Teaching in Special Education (M.A.T.) (0.94); Master of Arts in Teaching (M.A.T.) - 45 hours (0.86)
Teaching in Special Education (M.A.T.) - General Curriculum & Adapted Curriculum with CTE-Transition & Special Needs (Add-On Endorsement) ,Teaching in Special Education (M.A.T.) - Early Childhood Special Education & General Curriculum (0.98); Teaching in Special Education (M.A.T.) - Adapted Curriculum & Early Childhood Special Education with CTE-Transition & Special Needs (Add-On Endorsement) (0.96); Master of Arts in Teaching in Special Education (M.A.T.) (0.94); Master of Arts in Teaching in Special Education (M.A.T.) - 45 hours (0.94); Master of Arts in Teaching (M.A.T.) - 45 hours (0.86)
Technical Studies Major (A.A.S.),Interdisciplinary Studies Major (B.A. or B.S.) (0.65); Computer Science Major (B.S.) (0.58); Interdisciplinary Research Major (B.S.) (0.58); Middle Education Major (B.Ed.) (0.57); Computer Science Cybersecurity Major (B.S.) (0.57)
Theatre Arts Education P-12 Major (B.Ed.),Family & Consumer Sciences Education 6-12 Major (B.Ed.) (0.91); Visual Arts Education P-12 Major (B.Ed.) (0.89); Business Education 6-12 Major (B.Ed.) (0.89); Bachelor of Education in Special Education - General Curriculum K-12 (0.87); Biology Education 6-12 Major (B.Ed.) (0.87)
Theatre Arts Major (B.A./B.S.),Theatre Arts Education P-12 Major (B.Ed.) (0.72); Acting Major (B.F.A.) (0.69); Musical Theatre Major (B.F.A.) (0.66); Interdisciplinary Studies Major (B.A. or B.S.) (0.65); Interior Design Major (B.S.) (0.62)
Theology & Apologetics Major (B.A.),Religious Studies Major (B.S.) (0.91); Religious Studies: Bible & Theology Major (B.A.) (0.88); Christian Studies Major (B.S.) (0.87); Religious Studies: Bible & Theology Major (B.S.) (0.87); Biblical Studies Major (B.A.) (0.85)
Theology Major (B.S.),Religion Major (B.S.) (0.90); Religious Studies: Bible & Theology Major (B.A.) (0.87); Master of Religious Education (M.R.E.) (0.87); Bible Major (B.S.) (0.86); Master of Arts in Christian Apologetics (M.A.) (0.85)
Unmanned Aircraft Operations Major (B.S.),Aeronautics Major (B.S.) (0.96); Aviation Management Major (B.S.) (0.92); Aviation Major (B.S.) (0.88); Aviation Administration Major (B.S.) (0.84); Aviation Technology: Flight and Maintenance Major (B.S.) (0.78)
Urban Education - Graduate Certificate,Master of Arts in Educational Studies (M.A.) (0.63); Doctor of Philosophy in Education (Ph.D.) (0.60); Education Specialist in Educational Leadership (Ed.S.) (0.60); Doctor of Philosophy in Music Education (0.59); Doctor of Philosophy in Advanced Educational Studies (Ph.D.) (0.59)
Visual Arts Education P-12 Major (B.Ed.),Theatre Arts Education P-12 Major (B.Ed.) (0.89); Family & Consumer Sciences Education 6-12 Major (B.Ed.) (0.88); Business Education 6-12 Major (B.Ed.) (0.88); Elementary Education Major (B.Ed.) (0.87); Bachelor of Education in Special Education - General Curriculum K-12 (0.87)
Vocal Performance Major (B.M.),Music Major (B.A./B.S.) Vocal (0.98); Music Education Major (B.M.) (0.91); Music in World Cultures Major (B.M.) (0.90); Commercial Music Major (B.M.) (0.89); Music in World Cultures Major (B.S.) (0.89)
Web Development Certificate - Online,Information Technology Major (B.S.) (0.80); Information Systems Major (A.A.) (0.78); Information Systems Major (B.S.) (0.77); Informatics Major (B.S.) (0.71); Application Development Certificate - Online (0.69)
"Woodwind, Brass, or Percussion Performance Major (B.M.)",Guitar Performance Major (B.M.) (0.97); String Performance Major (B.M.) (0.97); Music Major (B.A./B.S.) Instrumental (0.93); Music Education Major (B.M.) (0.91); Music in World Cultures Major (B.M.) (0.90)
Worship Leadership Major (B.M.),"Music in World Cultures Major (B.M.) (0.98); Music in World Cultures Major (B.S.) (0.96); Commercial Music (B.M.) - Performance - Resident (0.96); Music & Worship Major (B.S.) (0.96); Commercial Music (B.M.) - Recording, Engineering, & Producing - Resident (0.95)"
Worship Music Studies Major (B.S.),Master of Arts in Music & Worship (M.A.)  (0.82); Master of Arts in Worship Studies (M.A.) (0.82); Doctor of Worship Studies (D.W.S.) (0.81); Music & Worship Major (B.S.) (0.77); Worship Leadership Major (B.M.) (0.77)
Worship Studies - Graduate Certificate,Doctor of Worship Studies (D.W.S.) (0.79); Master of Arts in Worship Studies (M.A.) (0.75); Master of Arts in Music & Worship (M.A.)  (0.74); Worship Music Studies Major (B.S.) (0.67); Doctor of Philosophy in Christian Worship (Ph.D.) (0.61)
Writing Major (B.S.),English & Writing Major (B.S.) (0.90); Creative Writing Major (B.S.) (0.89); Creative Writing Major (A.A.) (0.88); English Major (B.A.) (0.86); English Education 6-12 Major (B.Ed.) (0.84)
Youth Ministries Major (B.S.),Christian Leadership & Church Ministries Major (B.S.) (0.86); Camp & Outdoor Adventure Leadership Major (B.S.) (0.85); Christian Studies Major (B.S.) (0.82); Master of Arts in Religion (M.A.R.) (0.79); Religious Studies Major (B.S.) (0.78)
Zoo & Wildlife Biology Major (B.S.),Zoology Major (B.S.) (0.96); Conservation & Environmental Biology Major (B.S.) (0.96); Biopsychology Major (B.S.) (0.95); Biochemistry & Molecular Biology Major (B.S.) (0.95); Biotechnology Major (B.S.) (0.95)
Zoology Major (B.S.),Biotechnology Major (B.S.) (0.98); Conservation & Environmental Biology Major (B.S.) (0.98); Biomedical Sciences Major (B.S.) (0.97); Biopsychology Major (B.S.) (0.97); Biochemistry & Molecular Biology Major (B.S.) (0.97)
